"inputName","outputName"
"Isoetes tuckermanii ssp. acadiensis","Isoetes acadiensis"
"Isoetes engelmannii var. georgiana","Isoetes appalachiana"
"Isoetes bolanderi","Isoetes bolanderi"
"Isoetes boomii","Isoetes boomii"
"Isoetes butleri","Isoetes butleri"
"Isoetes tenella","Isoetes echinospora"
"Isoetes engelmannii","Isoetes engelmannii"
"Isoetes flaccida","Isoetes flaccida"
"Isoetes flaccida var. alata","Isoetes flaccida var. alata"
"Isoetes chapmanii","Isoetes flaccida var. chapmanii"
"Isoetes flaccida var. flaccida","Isoetes flaccida var. flaccida"
"Isoetes georgiana","Isoetes georgiana"
"Isoetes graniticola","Isoetes graniticola"
"Isoetes hawaiiensis","Isoetes hawaiiensis"
"Isoetes howellii","Isoetes howellii"
"Isoetes hyemalis","Isoetes hyemalis"
"Isoetes junciformis","Isoetes junciformis"
"Isoetes lacustris","Isoetes lacustris"
"Isoetes lithophila","Isoetes lithophila"
"Isoetes louisianensis","Isoetes louisianensis"
"Isoetes maritima","Isoetes maritima"
"Isoetes melanopoda","Isoetes melanopoda"
"Isoetes melanopoda ssp. melanopoda","Isoetes melanopoda ssp. melanopoda"
"Isoetes melanopoda ssp. silvatica","Isoetes melanopoda ssp. silvatica"
"Isoetes melanospora","Isoetes melanospora"
"Isoetes microvela","Isoetes microvela"
"Isoetes howellii var. minima","Isoetes minima"
"Isoetes mississippiensis","Isoetes mississippiensis"
"Isoetes nuttallii","Isoetes nuttallii"
"Isoetes occidentalis","Isoetes occidentalis"
"Isoetes orcuttii","Isoetes orcuttii"
"Isoetes piedmontana","Isoetes piedmontana"
"Isoetes prototypus","Isoetes prototypus"
"Isoetes riparia","Isoetes riparia"
"Isoetes saccharata var. amesii","Isoetes riparia var. amesii"
"Isoetes riparia var. riparia","Isoetes riparia var. riparia"
"Isoetes saccharata","Isoetes saccharata"
"Isoetes tegetiformans","Isoetes tegetiformans"
"Isoetes texana","Isoetes texana"
"Isoetes tuckermanii ssp. tuckermanii","Isoetes tuckermanii"
"Isoetes valida","Isoetes valida"
"Isoetes virginica","Isoetes virginica"
"Isoetes viridimontana","Isoetes viridimontana"
"Isoetes x altonharvillii","Isoetes x altonharvillii"
"Isoetes x blondeaui","Isoetes x blondeaui"
"Isoetes x brittonii","Isoetes x brittonii"
"Isoetes x robusta","Isoetes x dodgei"
"Isoetes x eatonii","Isoetes x eatonii"
"Isoetes x fairbrothersii","Isoetes x fairbrothersii"
"Isoetes x foveolata","Isoetes x foveolata"
"Isoetes x harveyi","Isoetes x harveyi"
"Isoetes x heterospora","Isoetes x heterospora"
"Isoetes x hickeyi","Isoetes x hickeyi"
"Isoetes x jeffreyi","Isoetes x jeffreyi"
"Isoetes truncata","Isoetes x truncata"
"Bryodesma acanthonota","Selaginella acanthonota"
"Selaginella arenicola ssp. acanthonota","Selaginella acanthonota"
"Lycopodioides apodum","Selaginella apoda"
"Selaginella arbuscula","Selaginella arbuscula"
"Bryodesma arenicola","Selaginella arenicola"
"Selaginella arenicola ssp. arenicola","Selaginella arenicola"
"Bryodesma arizonicum","Selaginella arizonica"
"Selaginella armata","Selaginella armata"
"Bryodesma asprellum","Selaginella asprella"
"Bryodesma bigelovii","Selaginella bigelovii"
"Didiclis braunii","Selaginella braunii"
"Bryodesma cinerascens","Selaginella cinerascens"
"Bryodesma corallina","Selaginella corallina"
"Bryodesma corallinum","Selaginella corallina"
"Lycopodium corallinum","Selaginella corallina"
"Selaginella arenicola ssp. riddellii","Selaginella corallina"
"Selaginella arenicola var. riddellii","Selaginella corallina"
"Selaginella riddellii","Selaginella corallina"
"Selaginoides deflexa","Selaginella deflexa"
"Selaginella densa var. densa","Selaginella densa"
"Valdespinoa douglasii","Selaginella douglasii"
"Lycopodioides sp. 1","Selaginella eatonii"
"Selaginella armata var. eatonii","Selaginella eatonii"
"Lycopodioides sp. 4","Selaginella eclipes"
"Bryodesma eremophilum","Selaginella eremophila"
"Bryodesma hansenii","Selaginella hansenii"
"Gymnogynum kraussianum","Selaginella kraussiana"
"Lepidoselaginella lepidophylla","Selaginella lepidophylla"
"Bryodesma leucobryoides","Selaginella leucobryoides"
"Selaginella ludoviciana","Selaginella ludoviciana"
"Hypopterygiopsis menziesii","Selaginella menziesii"
"Selaginella mutica","Selaginella mutica"
"Bryodesma limitaneum","Selaginella mutica var. limitanea"
"Bryodesma muticum","Selaginella mutica var. mutica"
"Bryodesma oreganum","Selaginella oregana"
"Bryodesma peruvianum","Selaginella peruviana"
"Pulviniella pilifera","Selaginella pilifera"
"Bryodesma rupestre","Selaginella rupestris"
"Bryodesma rupincola","Selaginella rupincola"
"Selaginella sandvicensis","Selaginella sandvicensis"
"Selaginella densa ssp. scopulorum","Selaginella scopulorum"
"Selaginella densa var. scopulorum","Selaginella scopulorum"
"Selaginoides spinulosa","Selaginella selaginoides"
"Bryodesma sibiricum","Selaginella sibirica"
"Selaginella densa var. standleyi","Selaginella standleyi"
"Bryodesma tortipilum","Selaginella tortipila"
"Didiclis uncinata","Selaginella uncinata"
"Bryodesma underwoodii","Selaginella underwoodii"
"Bryodesma utahense","Selaginella utahensis"
"Bryodesma viridissimum","Selaginella viridissima"
"Bryodesma wallacei","Selaginella wallacei"
"Bryodesma watsonii","Selaginella watsonii"
"Bryodesma weatherbianum","Selaginella weatherbiana"
"Didiclis willdenowii","Selaginella willdenowii"
"Bryodesma wightii","Selaginella wrightii"
"Bryodesma ×neomexicanum","Selaginella x neomexicana"
"Lycopodium dendroideum","Dendrolycopodium dendroideum"
"Lycopodium obscurum var. dendroideum","Dendrolycopodium dendroideum"
"Lycopodium hickeyi","Dendrolycopodium hickeyi"
"Lycopodium obscurum","Dendrolycopodium obscurum"
"Lycopodium alpinum","Diphasiastrum alpinum"
"Lycopodium complanatum","Diphasiastrum complanatum"
"Lycopodium digitatum","Diphasiastrum digitatum"
"Lycopodium flabelliforme","Diphasiastrum digitatum"
"Diphasiastrum x sabinifolium","Diphasiastrum sabinifolium"
"Lycopodium sabinifolium","Diphasiastrum sabinifolium"
"Lycopodium x sabinifolium","Diphasiastrum sabinifolium"
"Lycopodium sitchense","Diphasiastrum sitchense"
"Lycopodium tristachyum","Diphasiastrum tristachyum"
"Lycopodium x habereri","Diphasiastrum x habereri"
"Lycopodium x issleri","Diphasiastrum x issleri"
"Lycopodium x 1","Diphasiastrum x takedae"
"Diphasiastrum x verecundum","Diphasiastrum x verecundum"
"Lycopodium x zeilleri","Diphasiastrum x zeilleri"
"Huperzia appressa","Huperzia appalachiana"
"Huperzia miyoshiana","Huperzia chinensis"
"Huperzia filiformis","Huperzia filiformis"
"Huperzia haleakalae","Huperzia haleakalae"
"Lycopodium lucidulum","Huperzia lucidula"
"Lycopodium mannii","Huperzia mannii"
"Phlegmariurus mannii","Huperzia mannii"
"Lycopodium nutans","Huperzia nutans"
"Phlegmariurus nutans","Huperzia nutans"
"Urostachys nutans","Huperzia nutans"
"Lycopodium lucidulum var. tryonii","Huperzia occidentalis"
"Huperzia phyllantha","Huperzia phyllantha"
"Lycopodium polytrichoides","Huperzia polytrichoides"
"Lycopodium porophilum","Huperzia porophila"
"Lycopodium selago var. patens","Huperzia porophila"
"Lycopodium selago","Huperzia selago"
"Huperzia arctica","Huperzia selago var. densa"
"Lycopodium selago var. appressum","Huperzia selago var. densa"
"Huperzia selago","Huperzia selago var. selago"
"Lycopodium selago var. selago","Huperzia selago var. selago"
"Lycopodium serratum","Huperzia serrata"
"Huperzia serrata var. dentata","Huperzia serrata var. dentata"
"Huperzia serrata var. serrata","Huperzia serrata var. serrata"
"Huperzia somae","Huperzia somai"
"Phlegmariurus stemmermanniae","Huperzia stemmermanniae"
"Lycopodium x bartleyi","Huperzia x bartleyi"
"Huperzia x buttersii","Huperzia x buttersii"
"Huperzia x erubescens","Huperzia x erubescens"
"Huperzia x helleri","Huperzia x helleri"
"Huperzia x sulcinervia","Huperzia x sulcinervia"
"Lycopodium alopecuroides","Lycopodiella alopecuroides"
"Lycopodium appressum","Lycopodiella appressa"
"Lycopodium inundatum","Lycopodiella inundata"
"Lycopodiella margueritae","Lycopodiella margueritiae"
"Lycopodiella margueriteae","Lycopodiella margueritiae"
"Lycopodiella prostrata","Lycopodiella prostrata"
"Lycopodiella subappressa","Lycopodiella subappressa"
"Lycopodiella appressa x Lycopodiella prostrata","Lycopodiella x brucei"
"Lycopodiella alopecuroides x Lycopodiella appressa","Lycopodiella x copelandii"
"Lycopodium clavatum var. clavatum","Lycopodium clavatum"
"Lycopodium lagopus","Lycopodium lagopus"
"Lycopodium venustulum","Lycopodium venustulum"
"Lycopodiella cernua","Palhinhaea cernua"
"Lycopodium cernuum","Palhinhaea cernua"
"Huperzia dichotoma","Phlegmariurus dichotomus"
"Lycopodium dichotomum","Phlegmariurus dichotomus"
"Lycopodiella caroliniana","Pseudolycopodiella caroliniana"
"Lycopodium carolinianum","Pseudolycopodiella caroliniana"
"Lycopodium annotinum","Spinulum annotinum"
"Lycopodium annotinum var. alpestre","Spinulum annotinum ssp. alpestre"
"Lycopodium annotinum var. annotinum","Spinulum annotinum ssp. annotinum"
"Psilotum complanatum","Psilotum complanatum"
"Psilotum nudum","Psilotum nudum"
"Equisetum arvense","Equisetum arvense"
"Equisetum limosum","Equisetum fluviatile"
"Equisetum hyemale","Equisetum hyemale"
"Equisetum hyemale ssp. affine","Equisetum hyemale var. affine"
"Equisetum hyemale var. californicum","Equisetum hyemale var. affine"
"Equisetum praealtum","Equisetum hyemale var. affine"
"Equisetum laevigatum","Equisetum laevigatum"
"Equisetum palustre","Equisetum palustre"
"Equisetum pratense","Equisetum pratense"
"Equisetum ramosissimum","Equisetum ramosissimum"
"Equisetum scirpoides","Equisetum scirpoides"
"Equisetum sylvaticum var. multiramosum","Equisetum sylvaticum"
"Equisetum telmateia","Equisetum telmateia"
"Equisetum telmateia ssp. braunii","Equisetum telmateia var. braunii"
"Hippochaete variegata","Equisetum variegatum"
"Equisetum variegatum ssp. alaskanum","Equisetum variegatum var. alaskanum"
"Equisetum variegatum ssp. variegatum","Equisetum variegatum var. variegatum"
"Equisetum x ferrissii","Equisetum x ferrissii"
"Equisetum x font-queri","Equisetum x font-queri"
"Equisetum x jesupii","Equisetum x jesupii"
"Equisetum x litorale","Equisetum x litorale"
"Equisetum x mackayi","Equisetum x mackaii"
"Equisetum x nelsonii","Equisetum x nelsonii"
"Acrostichum aureum","Acrostichum aureum"
"Acrostichum danaeifolium","Acrostichum danaeifolium"
"Schizaea pennula","Actinostachys pennula"
"Adenophorus abietinus","Adenophorus abietinus"
"Adenophorus haalilioanus","Adenophorus haalilioanus"
"Adenophorus hymenophylloides","Adenophorus hymenophylloides"
"Adenophorus oahuensis","Adenophorus oahuensis"
"Adenophorus periens","Adenophorus periens"
"Adenophorus pinnatifidus","Adenophorus pinnatifidus"
"Adenophorus tamariscinus","Adenophorus tamariscinus"
"Adenophorus epigaeus","Adenophorus tamariscinus var. epigaeus"
"Adenophorus tamariscinus var. montanus","Adenophorus tamariscinus var. montanus"
"Adenophorus tamariscinus var. tamariscinus","Adenophorus tamariscinus var. tamariscinus"
"Adenophorus tripinnatifidus","Adenophorus tripinnatifidus"
"Adiantum aleuticum","Adiantum aleuticum"
"Adiantum anceps","Adiantum anceps"
"Adiantum capillus-veneris","Adiantum capillus-veneris"
"Adiantum caudatum","Adiantum caudatum"
"Adiantum hispidulum","Adiantum hispidulum"
"Adiantum jordanii","Adiantum jordanii"
"Adiantum macrophyllum","Adiantum macrophyllum"
"Adiantum melanoleucum","Adiantum melanoleucum"
"Adiantum pedatum","Adiantum pedatum"
"Adiantum raddianum","Adiantum raddianum"
"Adiantum tenerum","Adiantum tenerum"
"Adiantum trapeziforme","Adiantum trapeziforme"
"Adiantum tricholepis","Adiantum tricholepis"
"Adiantum villosum","Adiantum villosum"
"Adiantum viridimontanum","Adiantum viridimontanum"
"Adiantum x tracyi","Adiantum x tracyi"
"Cyathea dryopteroides","Alsophila amintae"
"Thelypteris globulifera","Amauropelta globulifera"
"Thelypteris inabonensis","Amauropelta inabonensis"
"Parathelypteris nevadensis","Amauropelta nevadensis"
"Thelypteris nevadensis","Amauropelta nevadensis"
"Parathelypteris noveboracensis","Amauropelta noveboracensis"
"Thelypteris noveboracensis","Amauropelta noveboracensis"
"Thelypteris resinifera","Amauropelta resinifera"
"Thelypteris sancta","Amauropelta sancta"
"Amphineuron opulentum","Amblovenatum opulentum"
"Cyclosorus opulentus","Amblovenatum opulentum"
"Thelypteris opulenta","Amblovenatum opulentum"
"Woodwardia virginica","Anchistea virginica"
"Osmunda adiantifolia","Anemia adiantifolia"
"Anemia mexicana","Anemia mexicana"
"Anemia wrightii","Anemia wrightii"
"Athyrium niponicum","Anisocampium niponicum"
"Arachniodes insularis","Arachniodes insularis"
"Arachniodes simplicior","Arachniodes simplicior"
"Cheilanthes dealbata","Argyrochosma dealbata"
"Notholaena dealbata","Argyrochosma dealbata"
"Pellaea dealbata","Argyrochosma dealbata"
"Notholaena fendleri","Argyrochosma fendleri"
"Pellaea fendleri","Argyrochosma fendleri"
"Notholaena incana","Argyrochosma incana"
"Cheilanthes jonesii","Argyrochosma jonesii"
"Notholaena jonesii","Argyrochosma jonesii"
"Pellaea jonesii","Argyrochosma jonesii"
"Cheilanthes limitanea","Argyrochosma limitanea"
"Notholaena limitanea","Argyrochosma limitanea"
"Pellaea limitanea","Argyrochosma limitanea"
"Argyrochosma limitanea var. limitanea","Argyrochosma limitanea ssp. limitanea"
"Cheilanthes limitanea var. limitanea","Argyrochosma limitanea ssp. limitanea"
"Notholaena limitanea var. limitanea","Argyrochosma limitanea ssp. limitanea"
"Notholaena limitanea ssp. mexicana","Argyrochosma limitanea ssp. mexicana"
"Notholaena limitanea var. mexicana","Argyrochosma limitanea ssp. mexicana"
"Pellaea microphylla","Argyrochosma microphylla"
"Cheilanthes californica","Aspidotis californica"
"Hypolepis californica","Aspidotis californica"
"Cheilanthes carlotta-halliae","Aspidotis carlotta-halliae"
"Cryptogramma densa","Aspidotis densa"
"Onychium densum","Aspidotis densa"
"Pellaea densa","Aspidotis densa"
"Asplenium abscissum","Asplenium abscissum"
"Asplenium abscissum var. abscissum","Asplenium abscissum var. abscissum"
"Asplenium acuminatum","Asplenium acuminatum"
"Asplenium adiantum-nigrum","Asplenium adiantum-nigrum"
"Asplenium adulterinum","Asplenium adulterinum"
"Asplenium erosum","Asplenium auritum"
"Asplenium auritum var. auritum","Asplenium auritum var. auritum"
"Asplenium bradleyi","Asplenium bradleyi"
"Asplenium contiguum","Asplenium contiguum"
"Asplenium contiguum var. contiguum","Asplenium contiguum var. contiguum"
"Asplenium contiguum var. hirtulum","Asplenium contiguum var. hirtulum"
"Asplenium cristatum","Asplenium cristatum"
"Asplenium cuneatum","Asplenium cuneatum"
"Asplenium x curtissii","Asplenium curtissii"
"Ceterach dalhousiae","Asplenium dalhousiae"
"Ceterachopsis dalhousiae","Asplenium dalhousiae"
"Asplenium densum","Asplenium densum"
"Asplenium trichomanes-dentatum","Asplenium dentatum"
"Asplenium exiguum","Asplenium exiguum"
"Asplenium haleakalense","Asplenium haleakalense"
"Asplenium heterochroum","Asplenium heterochroum"
"Asplenium x heteroresiliens","Asplenium heteroresiliens"
"Asplenium hobdyi","Asplenium hobdyi"
"Asplenium horridum","Asplenium horridum"
"Asplenium insiticium","Asplenium insiticium"
"Asplenium kaulfussii","Asplenium kaulfussii"
"Asplenium lobulatum","Asplenium lobulatum"
"Asplenium macraei","Asplenium macraei"
"Asplenium monanthes","Asplenium monanthes"
"Asplenium montanum","Asplenium montanum"
"Asplenium myriophyllum","Asplenium myriophyllum"
"Asplenium nidus","Asplenium nidus"
"Asplenium normale","Asplenium normale"
"Asplenium palmeri","Asplenium palmeri"
"Asplenium patens","Asplenium patens"
"Asplenosorus pinnatifidus","Asplenium pinnatifidum"
"x Asplenosorus pinnatifidus","Asplenium pinnatifidum"
"Asplenium platyneuron","Asplenium platyneuron"
"Asplenium x plenum","Asplenium plenum"
"Asplenium polyodon","Asplenium polyodon"
"Asplenium polyodon var. knudsenii","Asplenium polyodon var. knudsenii"
"Asplenium polyodon var. nitidulum","Asplenium polyodon var. nitidulum"
"Asplenium polyodon var. sectum","Asplenium polyodon var. sectum"
"Asplenium polyodon var. subcaudatum","Asplenium polyodon var. subcaudatum"
"Asplenium praemorsum","Asplenium praemorsum"
"Asplenium pumilum","Asplenium pumilum"
"Asplenium resiliens","Asplenium resiliens"
"Camptosorus rhizophyllus","Asplenium rhizophyllum"
"Asplenium fragile var. insulare","Asplenium rhomboideum"
"Asplenium peruvianum var. insulare","Asplenium rhomboideum"
"Asplenium ruta-muraria","Asplenium ruta-muraria"
"Asplenium ruta-muraria var. cryptolepis","Asplenium ruta-muraria var. lanceolum"
"Asplenium schizophyllum","Asplenium schizophyllum"
"Phyllitis scolopendrium","Asplenium scolopendrium"
"Asplenium scolopendrium ssp. americanum","Asplenium scolopendrium var. americanum"
"Phyllitis fernaldiana","Asplenium scolopendrium var. americanum"
"Phyllitis japonica ssp. americana","Asplenium scolopendrium var. americanum"
"Phyllitis scolopendrium var. americana","Asplenium scolopendrium var. americanum"
"Phyllitis scolopendrium var. americanum","Asplenium scolopendrium var. americanum"
"Asplenium scolopendrium ssp. scolopendrium","Asplenium scolopendrium var. scolopendrium"
"Phyllitis scolopendrium var. scolopendrium","Asplenium scolopendrium var. scolopendrium"
"Acrostichum septentrionale","Asplenium septentrionale"
"Asplenium serratum","Asplenium serratum"
"Asplenium trichomanes","Asplenium trichomanes"
"Asplenium quadrivalens","Asplenium trichomanes ssp. quadrivalens"
"Asplenium trichomanes","Asplenium trichomanes ssp. trichomanes"
"Asplenium tutwilerae","Asplenium tutwilerae"
"Asplenium unilaterale","Asplenium unilaterale"
"Asplenium varians","Asplenium varians"
"Asplenium vespertinum","Asplenium vespertinum"
"Asplenium trichomanes-ramosum","Asplenium viride"
"Asplenium x alternifolium","Asplenium x alternifolium"
"Asplenium x biscaynianum","Asplenium x biscayneanum"
"x Asplenosorus boydstoniae","Asplenium x boydstoniae"
"Asplenium x clermontiae","Asplenium x clermontiae"
"Asplenium ebenoides","Asplenium x ebenoides"
"x Asplenosorus ebenoides","Asplenium x ebenoides"
"x Asplenosorus gravesii","Asplenium x gravesii"
"x Asplenosorus herb-wagneri","Asplenium x herb-wagneri"
"x Asplenosorus inexpectatus","Asplenium x inexpectatum"
"x Asplenosorus kentuckiensis","Asplenium x kentuckiense"
"Asplenium x morganii","Asplenium x morganii"
"x Asplenosorus shawneense","Asplenium x shawneense"
"Asplenium pinnatifidum var. trudellii","Asplenium x trudellii"
"Asplenium trudellii","Asplenium x trudellii"
"×Asplenosorus trudellii","Asplenium x trudellii"
"Asplenium x virginicum","Asplenium x virginicum"
"Asplenium x wherryi","Asplenium x wherryi"
"Astrolepis cochisensis","Astrolepis cochisensis"
"Astrolepis cochisensis ssp. arizonica","Astrolepis cochisensis ssp. arizonica"
"Astrolepis cochisensis ssp. chihuahuaensis","Astrolepis cochisensis ssp. chihuahuaensis"
"Cheilanthes cochisensis","Astrolepis cochisensis ssp. cochisensis"
"Notholaena cochisensis","Astrolepis cochisensis ssp. cochisensis"
"Astrolepis x integerrima","Astrolepis integerrima"
"Cheilanthes sinuata","Astrolepis sinuata"
"Notholaena sinuata","Astrolepis sinuata"
"Astrolepis sinuata ssp. mexicana","Astrolepis sinuata ssp. mexicana"
"Astrolepis sinuata ssp. sinuata","Astrolepis sinuata ssp. sinuata"
"Astrolepis windhamii","Astrolepis windhamii"
"Athyrium alpestre","Athyrium americanum"
"Athyrium alpestre ssp. americanum","Athyrium americanum"
"Athyrium alpestre var. americanum","Athyrium americanum"
"Athyrium distentifolium","Athyrium americanum"
"Athyrium distentifolium ssp. americanum","Athyrium americanum"
"Athyrium distentifolium var. americanum","Athyrium americanum"
"Athyrium filix-femina","Athyrium filix-femina"
"Athyrium angustum","Athyrium filix-femina ssp. angustum"
"Athyrium filix-femina var. angustum","Athyrium filix-femina ssp. angustum"
"Athyrium asplenioides","Athyrium filix-femina ssp. asplenioides"
"Athyrium filix-femina var. asplenioides","Athyrium filix-femina ssp. asplenioides"
"Athyrium filix-femina var. cyclosorum","Athyrium filix-femina ssp. cyclosorum"
"Athyrium microphyllum","Athyrium microphyllum"
"Azolla cristata","Azolla caroliniana"
"Azolla filiculoides","Azolla filiculoides"
"Azolla microphylla","Azolla mexicana"
"Azolla pinnata","Azolla pinnata"
"Blechnum occidentale var. minor","Blechnum appendiculatum"
"Bommeria hispida","Bommeria hispida"
"Polypodium angustifolium","Campyloneurum angustifolium"
"Polypodium costatum","Campyloneurum costatum"
"Campyloneurum phyllitidis","Campyloneurum phyllitidis"
"Ceratopteris pteridoides","Ceratopteris pteridoides"
"Ceratopteris richardii","Ceratopteris richardii"
"Ceratopteris thalictroides","Ceratopteris thalictroides"
"Cheilanthes leucopoda","Cheilanthes leucopoda"
"Cheilanthes viridis","Choristosoria viridis"
"Cheilanthes viridis var. macrophylla","Choristosoria viridis ssp. macrophylla"
"Cheilanthes viridis var. viridis","Choristosoria viridis ssp. viridis"
"Thelypteris dentata","Christella dentata"
"Dryopteris hispidula","Christella hispidula"
"Thelypteris hispidula","Christella hispidula"
"Dryopteris parasitica","Christella parasitica"
"Polypodium parasiticum","Christella parasitica"
"Thelypteris parasitica","Christella parasitica"
"Cibotium chamissoi","Cibotium chamissoi"
"Cibotium glaucum","Cibotium glaucum"
"Cibotium menziesii","Cibotium menziesii"
